,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
120000,01/11/2019 08:30:00 AM,420,1.7,32,33,Star North Management LLC
120001,01/11/2019 08:30:00 AM,420,1.0,28,32,Taxi Affiliation Services
120002,01/11/2019 08:30:00 AM,300,0.9,32,32,Taxi Affiliation Services
120003,01/11/2019 08:30:00 AM,300,0.9,8,32,Taxi Affiliation Services
120004,01/11/2019 08:30:00 AM,360,1.1,32,32,Taxi Affiliation Services
120005,01/11/2019 08:30:00 AM,360,1.0,28,32,Star North Management LLC
120006,01/11/2019 08:30:00 AM,420,0.9,32,32,Taxi Affiliation Services
120007,01/11/2019 08:30:00 AM,480,1.2,8,32,Taxi Affiliation Services
120008,01/11/2019 08:30:00 AM,240,0.8,28,8,Choice Taxi Association
120009,01/11/2019 08:30:00 AM,420,1.6,28,32,Star North Management LLC
120010,01/11/2019 08:30:00 AM,360,1.5,2,1,KOAM Taxi Association
120011,01/11/2019 08:30:00 AM,420,1.9,8,32,Taxi Affiliation Services
120012,01/11/2019 08:30:00 AM,480,1.3,33,32,Taxi Affiliation Services
120013,01/11/2019 08:30:00 AM,360,0.8,28,32,Taxi Affiliation Services
120014,01/11/2019 08:30:00 AM,240,1.0,28,8,Taxi Affiliation Services
120015,01/11/2019 08:30:00 AM,480,1.1,28,32,Taxi Affiliation Services
120016,01/11/2019 08:30:00 AM,300,0.7,28,32,Taxi Affiliation Services
120017,01/11/2019 08:30:00 AM,300,0.8,32,28,Taxi Affiliation Services
120018,01/11/2019 08:30:00 AM,480,1.8,28,8,Star North Management LLC
120019,01/11/2019 08:30:00 AM,240,0.6,28,32,Taxi Affiliation Services
120020,01/11/2019 08:30:00 AM,240,0.9,8,8,Star North Management LLC
120021,01/11/2019 08:30:00 AM,300,0.7,32,8,Star North Management LLC
120022,01/11/2019 08:30:00 AM,480,1.3,8,32,"Taxicab Insurance Agency, LLC"
120023,01/11/2019 08:30:00 AM,420,0.9,8,32,Taxi Affiliation Services
120024,01/11/2019 08:30:00 AM,360,0.9,32,32,"Taxicab Insurance Agency, LLC"
