,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1090000,03/21/2019 11:45:00 AM,312,1.5,1,77,Taxi Affiliation Service Yellow
1090001,03/21/2019 11:45:00 AM,320,0.6,32,32,Flash Cab
1090002,03/21/2019 11:45:00 AM,400,1.2,3,77,Blue Diamond
1090003,03/21/2019 11:45:00 AM,343,1.0,32,8,Blue Diamond
1090004,03/21/2019 11:45:00 AM,322,0.68,28,8,Sun Taxi
1090005,03/21/2019 11:45:00 AM,300,0.52,32,32,Taxi Affiliation Service Yellow
1090006,03/21/2019 11:45:00 AM,245,1.0,41,39,Checker Taxi Affiliation
1090007,03/21/2019 11:45:00 AM,460,1.51,33,32,Chicago Carriage Cab Corp
1090008,03/21/2019 11:45:00 AM,329,0.7,32,32,Blue Diamond
1090009,03/21/2019 11:45:00 AM,496,1.35,28,32,Taxi Affiliation Service Yellow
1090010,03/21/2019 11:45:00 AM,456,0.8,32,8,Taxi Affiliation Service Yellow
1090011,03/21/2019 11:45:00 AM,246,0.9,32,28,Flash Cab
1090012,03/21/2019 11:45:00 AM,338,1.1,22,22,Flash Cab
1090013,03/21/2019 11:45:00 AM,494,0.9,32,28,Flash Cab
1090014,03/21/2019 11:45:00 AM,439,0.9,32,28,Flash Cab
1090015,03/21/2019 11:45:00 AM,219,0.7,32,8,Flash Cab
1090016,03/21/2019 11:45:00 AM,410,0.6,8,8,American United
1090017,03/21/2019 11:45:00 AM,288,0.8,32,28,Flash Cab
1090018,03/21/2019 11:45:00 AM,453,0.9,32,32,Flash Cab
1090019,03/21/2019 11:45:00 AM,391,0.8,8,32,Flash Cab
1090020,03/21/2019 12:00:00 PM,480,0.6,8,32,Star North Management LLC
1090021,03/21/2019 12:00:00 PM,360,0.7,28,32,Taxi Affiliation Services
1090022,03/21/2019 12:00:00 PM,360,0.8,32,8,Star North Management LLC
1090023,03/21/2019 12:00:00 PM,480,1.2,32,32,Taxi Affiliation Services
1090024,03/21/2019 12:00:00 PM,360,0.9,28,32,Taxi Affiliation Services
1090025,03/21/2019 12:00:00 PM,540,0.8,8,32,Star North Management LLC
1090026,03/21/2019 12:00:00 PM,540,1.2,32,32,Taxi Affiliation Services
1090027,03/21/2019 12:00:00 PM,240,0.9,32,32,Star North Management LLC
1090028,03/21/2019 12:00:00 PM,420,1.2,28,32,Taxi Affiliation Services
1090029,03/21/2019 12:00:00 PM,300,1.4,8,32,Star North Management LLC
1090030,03/21/2019 12:00:00 PM,300,0.8,32,28,Taxi Affiliation Services
1090031,03/21/2019 12:00:00 PM,360,1.1,32,28,Taxi Affiliation Services
1090032,03/21/2019 12:00:00 PM,300,0.7,28,28,Taxi Affiliation Services
1090033,03/21/2019 12:00:00 PM,420,0.9,8,32,Chicago Medallion Management
1090034,03/21/2019 12:00:00 PM,420,1.0,32,8,Choice Taxi Association
1090035,03/21/2019 12:00:00 PM,480,1.5,8,32,Chicago Medallion Management
1090036,03/21/2019 12:00:00 PM,480,1.1,8,8,Choice Taxi Association
1090037,03/21/2019 12:00:00 PM,420,0.8,28,32,Taxi Affiliation Services
1090038,03/21/2019 12:00:00 PM,420,1.3,28,32,Choice Taxi Association
1090039,03/21/2019 12:00:00 PM,1860,1.1,32,76,Taxi Affiliation Services
1090040,03/21/2019 12:00:00 PM,360,1.0,28,32,Taxi Affiliation Services
1090041,03/21/2019 12:00:00 PM,300,1.1,8,28,Star North Management LLC
1090042,03/21/2019 12:00:00 PM,420,1.0,8,32,Taxi Affiliation Services
1090043,03/21/2019 12:00:00 PM,360,1.0,8,8,Star North Management LLC
1090044,03/21/2019 12:00:00 PM,420,0.9,32,8,Taxi Affiliation Services
1090045,03/21/2019 12:00:00 PM,240,0.9,8,32,Taxi Affiliation Services
1090046,03/21/2019 12:00:00 PM,240,0.8,32,32,Star North Management LLC
1090047,03/21/2019 12:00:00 PM,420,1.3,32,8,Taxi Affiliation Services
1090048,03/21/2019 12:00:00 PM,360,1.0,8,32,Choice Taxi Association
1090049,03/21/2019 12:00:00 PM,480,0.8,32,28,Choice Taxi Association
1090050,03/21/2019 12:00:00 PM,2100,1.1,76,8,Taxi Affiliation Services
1090051,03/21/2019 12:00:00 PM,540,1.4,32,8,Taxi Affiliation Services
1090052,03/21/2019 12:00:00 PM,300,0.7,8,8,Star North Management LLC
1090053,03/21/2019 12:00:00 PM,360,1.0,32,32,Taxi Affiliation Services
1090054,03/21/2019 12:00:00 PM,420,0.9,32,32,Taxi Affiliation Services
1090055,03/21/2019 12:00:00 PM,480,1.5,32,28,Choice Taxi Association
1090056,03/21/2019 12:00:00 PM,480,1.4,32,8,Taxi Affiliation Services
1090057,03/21/2019 12:00:00 PM,300,0.6,32,32,Taxi Affiliation Services
1090058,03/21/2019 12:00:00 PM,240,0.7,28,32,Taxi Affiliation Services
1090059,03/21/2019 12:00:00 PM,300,0.6,28,32,Taxi Affiliation Services
1090060,03/21/2019 12:00:00 PM,300,0.8,32,32,Choice Taxi Association
1090061,03/21/2019 12:00:00 PM,420,1.4,32,8,Star North Management LLC
1090062,03/21/2019 12:00:00 PM,300,0.9,8,8,Taxi Affiliation Services
1090063,03/21/2019 12:00:00 PM,240,0.8,24,24,Taxi Affiliation Services
1090064,03/21/2019 12:00:00 PM,1860,1.3,76,33,Blue Ribbon Taxi Association Inc.
1090065,03/21/2019 12:00:00 PM,420,1.2,28,8,Star North Management LLC
1090066,03/21/2019 12:00:00 PM,540,1.2,32,8,Taxi Affiliation Services
1090067,03/21/2019 12:00:00 PM,420,1.2,28,8,Choice Taxi Association
1090068,03/21/2019 12:00:00 PM,420,1.0,28,32,Taxi Affiliation Services
1090069,03/21/2019 12:00:00 PM,300,0.7,8,8,"Taxicab Insurance Agency, LLC"
1090070,03/21/2019 12:00:00 PM,360,0.7,32,32,Star North Management LLC
1090071,03/21/2019 12:00:00 PM,240,0.8,32,32,"Taxicab Insurance Agency, LLC"
1090072,03/21/2019 12:00:00 PM,360,0.7,32,8,Star North Management LLC
1090073,03/21/2019 12:00:00 PM,480,1.2,28,32,Taxi Affiliation Services
1090074,03/21/2019 12:00:00 PM,300,1.0,33,33,Taxi Affiliation Services
