,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
1020000,03/16/2019 06:30:00 PM,473,0.88,8,32,Flash Cab
1020001,03/16/2019 06:30:00 PM,365,0.99,32,32,Chicago Carriage Cab Corp
1020002,03/16/2019 06:30:00 PM,595,1.24,8,28,Chicago Carriage Cab Corp
1020003,03/16/2019 06:30:00 PM,556,1.14,8,8,Sun Taxi
1020004,03/16/2019 06:30:00 PM,312,1.24,38,41,Flash Cab
1020005,03/16/2019 06:30:00 PM,540,1.0,8,32,24 Seven Taxi
1020006,03/16/2019 06:30:00 PM,371,0.76,32,8,Sun Taxi
1020007,03/16/2019 06:30:00 PM,499,1.23,8,8,Flash Cab
1020008,03/16/2019 06:30:00 PM,498,0.73,8,8,Sun Taxi
1020009,03/16/2019 06:30:00 PM,300,0.6,8,8,Flash Cab
1020010,03/16/2019 06:30:00 PM,313,0.9,6,7,Flash Cab
1020011,03/16/2019 06:30:00 PM,372,0.8,32,32,Flash Cab
1020012,03/16/2019 06:30:00 PM,567,1.5,28,32,Flash Cab
1020013,03/16/2019 06:30:00 PM,489,1.5,32,33,Flash Cab
1020014,03/16/2019 06:30:00 PM,489,1.5,33,32,Flash Cab
1020015,03/16/2019 06:30:00 PM,544,0.8,32,32,Flash Cab
1020016,03/16/2019 06:30:00 PM,268,1.2,11,11,Flash Cab
1020017,03/16/2019 06:30:00 PM,548,1.1,8,32,Flash Cab
1020018,03/16/2019 06:30:00 PM,412,1.6,6,4,Flash Cab
1020019,03/16/2019 06:30:00 PM,386,1.0,6,6,Flash Cab
1020020,03/16/2019 06:30:00 PM,304,0.6,32,28,Flash Cab
1020021,03/16/2019 06:30:00 PM,470,1.6,32,8,Flash Cab
1020022,03/16/2019 06:45:00 PM,300,0.8,8,8,Star North Management LLC
1020023,03/16/2019 06:45:00 PM,420,1.2,32,8,Choice Taxi Association
1020024,03/16/2019 06:45:00 PM,540,1.1,8,8,Taxi Affiliation Services
1020025,03/16/2019 06:45:00 PM,540,1.5,7,8,Taxi Affiliation Services
1020026,03/16/2019 06:45:00 PM,420,0.8,32,8,Taxi Affiliation Services
1020027,03/16/2019 06:45:00 PM,300,1.2,24,8,Taxi Affiliation Services
1020028,03/16/2019 06:45:00 PM,480,1.2,32,28,Star North Management LLC
1020029,03/16/2019 06:45:00 PM,540,1.3,6,6,Star North Management LLC
1020030,03/16/2019 06:45:00 PM,300,1.0,24,24,Choice Taxi Association
1020031,03/16/2019 06:45:00 PM,360,1.9,76,76,Taxi Affiliation Services
1020032,03/16/2019 06:45:00 PM,240,0.8,33,33,Taxi Affiliation Services
1020033,03/16/2019 06:45:00 PM,420,1.2,8,7,Taxi Affiliation Services
1020034,03/16/2019 06:45:00 PM,420,1.5,32,8,Star North Management LLC
1020035,03/16/2019 06:45:00 PM,420,1.4,77,4,Star North Management LLC
1020036,03/16/2019 06:45:00 PM,420,1.0,7,6,Choice Taxi Association
1020037,03/16/2019 06:45:00 PM,300,1.0,8,32,Star North Management LLC
1020038,03/16/2019 06:45:00 PM,240,0.6,28,32,Choice Taxi Association
1020039,03/16/2019 06:45:00 PM,300,0.9,6,6,Chicago Medallion Management
1020040,03/16/2019 06:45:00 PM,540,1.3,8,32,"Taxicab Insurance Agency, LLC"
1020041,03/16/2019 06:45:00 PM,420,1.0,32,32,Taxi Affiliation Services
1020042,03/16/2019 06:45:00 PM,540,1.3,28,32,Taxi Affiliation Services
1020043,03/16/2019 06:45:00 PM,240,1.2,24,24,Star North Management LLC
1020044,03/16/2019 06:45:00 PM,480,1.6,8,28,Star North Management LLC
1020045,03/16/2019 06:45:00 PM,300,0.6,8,8,Taxi Affiliation Services
1020046,03/16/2019 06:45:00 PM,240,0.6,8,8,Taxi Affiliation Services
1020047,03/16/2019 06:45:00 PM,240,1.0,32,8,Taxi Affiliation Services
1020048,03/16/2019 06:45:00 PM,420,0.6,8,8,Taxi Affiliation Services
1020049,03/16/2019 06:45:00 PM,480,1.3,32,33,Star North Management LLC
1020050,03/16/2019 06:45:00 PM,420,1.4,6,5,Taxi Affiliation Services
1020051,03/16/2019 06:45:00 PM,300,1.2,32,32,Choice Taxi Association
1020052,03/16/2019 06:45:00 PM,300,0.9,16,14,Taxi Affiliation Services
1020053,03/16/2019 06:45:00 PM,420,0.8,8,32,Taxi Affiliation Services
1020054,03/16/2019 06:45:00 PM,540,0.9,8,8,Choice Taxi Association
1020055,03/16/2019 06:45:00 PM,480,0.9,8,32,Choice Taxi Association
1020056,03/16/2019 06:45:00 PM,540,0.8,32,32,Taxi Affiliation Services
1020057,03/16/2019 06:45:00 PM,540,1.6,8,32,"Taxicab Insurance Agency, LLC"
1020058,03/16/2019 06:45:00 PM,360,1.9,76,76,Top Cab Affiliation
1020059,03/16/2019 06:45:00 PM,420,1.4,3,6,Taxi Affiliation Services
1020060,03/16/2019 06:45:00 PM,2220,1.1,76,8,Taxi Affiliation Services
1020061,03/16/2019 06:45:00 PM,240,0.9,28,8,Taxi Affiliation Services
1020062,03/16/2019 06:45:00 PM,540,1.4,8,32,Star North Management LLC
1020063,03/16/2019 06:45:00 PM,540,1.1,32,28,Taxi Affiliation Services
1020064,03/16/2019 06:45:00 PM,480,1.5,8,32,Choice Taxi Association
1020065,03/16/2019 06:45:00 PM,480,0.9,8,8,Star North Management LLC
1020066,03/16/2019 06:45:00 PM,360,0.9,32,28,Taxi Affiliation Services
1020067,03/16/2019 06:45:00 PM,420,1.3,8,8,Choice Taxi Association
1020068,03/16/2019 06:45:00 PM,360,1.0,32,28,Taxi Affiliation Services
1020069,03/16/2019 06:45:00 PM,480,0.7,8,32,Taxi Affiliation Services
1020070,03/16/2019 06:45:00 PM,240,0.9,32,28,Star North Management LLC
1020071,03/16/2019 06:45:00 PM,480,0.8,8,32,Choice Taxi Association
1020072,03/16/2019 06:45:00 PM,300,0.8,6,7,Star North Management LLC
1020073,03/16/2019 06:45:00 PM,240,1.0,32,28,Star North Management LLC
1020074,03/16/2019 06:45:00 PM,240,0.8,8,32,Star North Management LLC
1020075,03/16/2019 06:45:00 PM,420,1.0,8,7,Taxi Affiliation Services
1020076,03/16/2019 06:45:00 PM,540,1.8,7,6,Taxi Affiliation Services
1020077,03/16/2019 06:45:00 PM,300,0.6,7,7,Choice Taxi Association
1020078,03/16/2019 06:45:00 PM,480,1.4,28,32,Star North Management LLC
1020079,03/16/2019 06:45:00 PM,300,1.0,32,28,Chicago Medallion Management
1020080,03/16/2019 06:45:00 PM,300,0.8,32,32,Star North Management LLC
1020081,03/16/2019 06:45:00 PM,540,1.4,7,6,Taxi Affiliation Services
1020082,03/16/2019 06:45:00 PM,540,1.8,8,7,Taxi Affiliation Services
1020083,03/16/2019 06:45:00 PM,420,0.9,8,32,Taxi Affiliation Services
1020084,03/16/2019 06:45:00 PM,540,0.8,7,8,Star North Management LLC
1020085,03/16/2019 06:45:00 PM,360,0.9,32,32,Choice Taxi Association
1020086,03/16/2019 06:45:00 PM,540,1.52,33,32,Taxi Affiliation Service Yellow
1020087,03/16/2019 06:45:00 PM,370,0.6,6,6,Taxi Affiliation Service Yellow
1020088,03/16/2019 06:45:00 PM,560,1.53,8,7,Sun Taxi
1020089,03/16/2019 06:45:00 PM,483,0.91,8,8,Patriot Taxi Dba Peace Taxi Associat
1020090,03/16/2019 06:45:00 PM,473,1.04,32,8,City Service
1020091,03/16/2019 06:45:00 PM,370,0.86,8,8,Chicago Carriage Cab Corp
1020092,03/16/2019 06:45:00 PM,411,0.6,8,8,Taxi Affiliation Service Yellow
1020093,03/16/2019 06:45:00 PM,518,0.67,8,32,City Service
1020094,03/16/2019 06:45:00 PM,300,1.0,7,6,Globe Taxi
1020095,03/16/2019 06:45:00 PM,360,0.9,6,7,Globe Taxi
1020096,03/16/2019 06:45:00 PM,351,0.85,6,7,Sun Taxi
1020097,03/16/2019 06:45:00 PM,395,0.7,32,32,Medallion Leasin
1020098,03/16/2019 06:45:00 PM,526,0.99,8,32,Sun Taxi
1020099,03/16/2019 06:45:00 PM,596,0.8,8,8,Sun Taxi
1020100,03/16/2019 06:45:00 PM,344,0.8,7,7,Chicago Carriage Cab Corp
1020101,03/16/2019 06:45:00 PM,477,1.08,8,8,Sun Taxi
1020102,03/16/2019 06:45:00 PM,253,0.76,8,8,Flash Cab
1020103,03/16/2019 06:45:00 PM,350,0.76,8,8,Chicago Carriage Cab Corp
1020104,03/16/2019 06:45:00 PM,441,0.6,32,32,Medallion Leasin
1020105,03/16/2019 06:45:00 PM,360,0.8,8,8,Medallion Leasin
1020106,03/16/2019 06:45:00 PM,539,1.87,6,5,Flash Cab
1020107,03/16/2019 06:45:00 PM,303,0.6,8,8,Flash Cab
1020108,03/16/2019 06:45:00 PM,470,1.99,31,60,Taxi Affiliation Service Yellow
1020109,03/16/2019 06:45:00 PM,360,0.9,8,28,Globe Taxi
1020110,03/16/2019 06:45:00 PM,440,1.04,8,32,Flash Cab
1020111,03/16/2019 06:45:00 PM,335,0.9,8,7,Chicago Carriage Cab Corp
1020112,03/16/2019 06:45:00 PM,438,0.71,8,32,Flash Cab
1020113,03/16/2019 06:45:00 PM,374,1.14,3,6,Chicago Carriage Cab Corp
1020114,03/16/2019 06:45:00 PM,567,1.14,8,8,Flash Cab
1020115,03/16/2019 06:45:00 PM,420,1.4,8,8,Sun Taxi
1020116,03/16/2019 06:45:00 PM,332,1.31,32,8,Chicago Carriage Cab Corp
1020117,03/16/2019 06:45:00 PM,558,1.14,7,6,Nova Taxi Affiliation Llc
1020118,03/16/2019 06:45:00 PM,447,0.74,8,8,Flash Cab
1020119,03/16/2019 06:45:00 PM,448,0.68,8,8,City Service
1020120,03/16/2019 06:45:00 PM,195,0.72,8,8,City Service
1020121,03/16/2019 06:45:00 PM,345,0.88,32,32,City Service
1020122,03/16/2019 06:45:00 PM,343,0.81,7,8,Patriot Taxi Dba Peace Taxi Associat
1020123,03/16/2019 06:45:00 PM,233,0.59,33,33,Chicago Carriage Cab Corp
1020124,03/16/2019 06:45:00 PM,455,0.9,8,28,Taxi Affiliation Service Yellow
1020125,03/16/2019 06:45:00 PM,406,0.8,8,8,Blue Diamond
1020126,03/16/2019 06:45:00 PM,567,0.94,32,32,Chicago Carriage Cab Corp
1020127,03/16/2019 06:45:00 PM,347,0.6,8,8,Flash Cab
1020128,03/16/2019 06:45:00 PM,381,0.66,8,8,Chicago Carriage Cab Corp
1020129,03/16/2019 06:45:00 PM,325,0.71,8,8,Flash Cab
1020130,03/16/2019 06:45:00 PM,359,0.55,8,8,Chicago Carriage Cab Corp
1020131,03/16/2019 06:45:00 PM,578,0.62,8,8,Nova Taxi Affiliation Llc
1020132,03/16/2019 06:45:00 PM,478,1.3,6,6,City Service
1020133,03/16/2019 06:45:00 PM,240,0.9,7,7,Globe Taxi
1020134,03/16/2019 06:45:00 PM,462,0.79,28,8,Flash Cab
1020135,03/16/2019 06:45:00 PM,480,1.3,8,8,Sun Taxi
1020136,03/16/2019 06:45:00 PM,420,1.11,8,32,Nova Taxi Affiliation Llc
1020137,03/16/2019 06:45:00 PM,567,1.04,28,32,Chicago Carriage Cab Corp
1020138,03/16/2019 06:45:00 PM,480,1.5,32,28,Globe Taxi
1020139,03/16/2019 06:45:00 PM,531,1.16,8,8,Chicago Carriage Cab Corp
1020140,03/16/2019 06:45:00 PM,300,0.85,8,24,Globe Taxi
1020141,03/16/2019 06:45:00 PM,230,1.0,33,33,Taxi Affiliation Service Yellow
1020142,03/16/2019 06:45:00 PM,300,0.8,32,32,Globe Taxi
1020143,03/16/2019 06:45:00 PM,443,0.76,8,8,Chicago Carriage Cab Corp
1020144,03/16/2019 06:45:00 PM,527,1.79,32,33,City Service
1020145,03/16/2019 06:45:00 PM,300,1.0,8,8,Medallion Leasin
1020146,03/16/2019 06:45:00 PM,514,1.19,8,8,Taxi Affiliation Service Yellow
1020147,03/16/2019 06:45:00 PM,357,1.3,33,32,Taxi Affiliation Service Yellow
1020148,03/16/2019 06:45:00 PM,360,0.9,32,32,Sun Taxi
1020149,03/16/2019 06:45:00 PM,360,0.8,7,7,Medallion Leasin
1020150,03/16/2019 06:45:00 PM,265,0.6,7,6,Medallion Leasin
1020151,03/16/2019 06:45:00 PM,474,0.85,8,8,Flash Cab
1020152,03/16/2019 06:45:00 PM,341,1.21,8,28,Chicago Carriage Cab Corp
1020153,03/16/2019 06:45:00 PM,566,0.83,8,8,Chicago Carriage Cab Corp
1020154,03/16/2019 06:45:00 PM,383,0.73,28,28,Sun Taxi
1020155,03/16/2019 06:45:00 PM,510,1.3,32,8,Blue Diamond
1020156,03/16/2019 06:45:00 PM,419,1.01,33,34,Sun Taxi
1020157,03/16/2019 06:45:00 PM,380,0.68,6,6,Chicago Carriage Cab Corp
1020158,03/16/2019 06:45:00 PM,362,1.0,8,8,Sun Taxi
1020159,03/16/2019 06:45:00 PM,578,1.27,32,8,Chicago Carriage Cab Corp
1020160,03/16/2019 06:45:00 PM,505,1.2,32,32,Taxi Affiliation Service Yellow
1020161,03/16/2019 06:45:00 PM,512,1.39,32,28,Sun Taxi
1020162,03/16/2019 06:45:00 PM,488,1.8,8,7,Chicago Carriage Cab Corp
1020163,03/16/2019 06:45:00 PM,330,0.93,6,6,Flash Cab
1020164,03/16/2019 06:45:00 PM,348,0.89,7,7,Chicago Carriage Cab Corp
1020165,03/16/2019 06:45:00 PM,494,1.4,8,8,Chicago Carriage Cab Corp
1020166,03/16/2019 06:45:00 PM,300,0.8,8,8,Medallion Leasin
1020167,03/16/2019 06:45:00 PM,348,0.85,7,7,Chicago Carriage Cab Corp
1020168,03/16/2019 06:45:00 PM,595,1.01,32,8,Chicago Carriage Cab Corp
1020169,03/16/2019 06:45:00 PM,393,1.4,32,32,City Service
1020170,03/16/2019 06:45:00 PM,347,1.18,7,8,Sun Taxi
1020171,03/16/2019 06:45:00 PM,480,1.0,8,32,Globe Taxi
1020172,03/16/2019 06:45:00 PM,302,0.8,8,8,Chicago Taxicab
1020173,03/16/2019 06:45:00 PM,264,0.67,6,3,Chicago Carriage Cab Corp
1020174,03/16/2019 06:45:00 PM,462,0.99,6,6,Chicago Carriage Cab Corp
1020175,03/16/2019 06:45:00 PM,524,1.0,8,32,Flash Cab
1020176,03/16/2019 06:45:00 PM,518,1.43,32,32,Nova Taxi Affiliation Llc
1020177,03/16/2019 06:45:00 PM,240,0.9,8,32,Globe Taxi
1020178,03/16/2019 06:45:00 PM,382,1.87,32,32,Nova Taxi Affiliation Llc
1020179,03/16/2019 06:45:00 PM,520,1.1,8,8,City Service
1020180,03/16/2019 06:45:00 PM,251,0.58,7,7,Chicago Carriage Cab Corp
1020181,03/16/2019 06:45:00 PM,540,0.6,32,8,Medallion Leasin
1020182,03/16/2019 06:45:00 PM,208,0.62,8,32,Chicago Carriage Cab Corp
1020183,03/16/2019 06:45:00 PM,420,1.0,32,32,Sun Taxi
1020184,03/16/2019 06:45:00 PM,566,1.53,7,7,Flash Cab
1020185,03/16/2019 06:45:00 PM,268,0.79,8,8,Sun Taxi
1020186,03/16/2019 06:45:00 PM,364,0.78,8,8,Flash Cab
1020187,03/16/2019 06:45:00 PM,436,0.91,7,7,Chicago Carriage Cab Corp
1020188,03/16/2019 06:45:00 PM,420,1.7,28,8,City Service
1020189,03/16/2019 06:45:00 PM,240,0.8,7,7,Medallion Leasin
1020190,03/16/2019 06:45:00 PM,417,0.97,35,38,Flash Cab
1020191,03/16/2019 06:45:00 PM,367,0.73,32,32,Sun Taxi
1020192,03/16/2019 06:45:00 PM,298,0.73,7,7,Sun Taxi
1020193,03/16/2019 06:45:00 PM,426,1.03,32,28,Flash Cab
1020194,03/16/2019 06:45:00 PM,360,1.1,32,28,24 Seven Taxi
1020195,03/16/2019 06:45:00 PM,360,0.8,8,7,Medallion Leasin
1020196,03/16/2019 06:45:00 PM,244,0.83,7,7,Chicago Carriage Cab Corp
1020197,03/16/2019 06:45:00 PM,348,0.94,8,8,Nova Taxi Affiliation Llc
1020198,03/16/2019 06:45:00 PM,322,1.08,33,33,Globe Taxi
1020199,03/16/2019 06:45:00 PM,505,1.66,8,8,Sun Taxi
1020200,03/16/2019 06:45:00 PM,571,0.97,8,8,Sun Taxi
1020201,03/16/2019 06:45:00 PM,334,1.03,6,3,Flash Cab
1020202,03/16/2019 06:45:00 PM,599,1.99,32,28,Chicago Carriage Cab Corp
1020203,03/16/2019 06:45:00 PM,556,1.23,32,32,Chicago Carriage Cab Corp
1020204,03/16/2019 06:45:00 PM,480,0.6,8,8,Medallion Leasin
1020205,03/16/2019 06:45:00 PM,286,0.79,8,24,Chicago Carriage Cab Corp
1020206,03/16/2019 06:45:00 PM,572,0.58,32,8,Gold Coast Taxi
1020207,03/16/2019 06:45:00 PM,224,0.72,8,8,Sun Taxi
1020208,03/16/2019 06:45:00 PM,563,1.23,8,32,Chicago Carriage Cab Corp
1020209,03/16/2019 06:45:00 PM,389,1.35,7,7,Flash Cab
1020210,03/16/2019 06:45:00 PM,348,0.86,8,8,Chicago Carriage Cab Corp
1020211,03/16/2019 06:45:00 PM,454,1.13,32,32,Chicago Carriage Cab Corp
1020212,03/16/2019 06:45:00 PM,253,0.7,77,77,Chicago Carriage Cab Corp
1020213,03/16/2019 06:45:00 PM,574,1.32,8,8,Chicago Carriage Cab Corp
1020214,03/16/2019 06:45:00 PM,526,1.23,28,32,City Service
1020215,03/16/2019 06:45:00 PM,583,1.65,32,28,Chicago Carriage Cab Corp
1020216,03/16/2019 06:45:00 PM,361,0.53,8,8,City Service
1020217,03/16/2019 06:45:00 PM,409,0.53,8,8,City Service
1020218,03/16/2019 06:45:00 PM,193,0.65,6,3,Flash Cab
1020219,03/16/2019 06:45:00 PM,477,1.1,8,8,City Service
1020220,03/16/2019 06:45:00 PM,420,0.6,8,8,Medallion Leasin
1020221,03/16/2019 06:45:00 PM,290,0.7,28,32,Medallion Leasin
1020222,03/16/2019 06:45:00 PM,540,1.1,7,7,Medallion Leasin
1020223,03/16/2019 06:45:00 PM,525,1.22,28,32,Chicago Carriage Cab Corp
1020224,03/16/2019 06:45:00 PM,312,0.57,8,8,Chicago Carriage Cab Corp
1020225,03/16/2019 06:45:00 PM,429,0.55,8,8,Chicago Carriage Cab Corp
1020226,03/16/2019 06:45:00 PM,240,1.0,7,7,City Service
1020227,03/16/2019 06:45:00 PM,380,0.62,8,8,Flash Cab
1020228,03/16/2019 06:45:00 PM,236,0.93,33,32,Chicago Carriage Cab Corp
1020229,03/16/2019 06:45:00 PM,547,1.23,7,8,Flash Cab
1020230,03/16/2019 06:45:00 PM,489,1.84,32,33,Chicago Carriage Cab Corp
1020231,03/16/2019 06:45:00 PM,311,0.8,8,28,Patriot Taxi Dba Peace Taxi Associat
1020232,03/16/2019 06:45:00 PM,400,0.6,8,8,Flash Cab
1020233,03/16/2019 06:45:00 PM,282,0.61,8,8,Flash Cab
1020234,03/16/2019 06:45:00 PM,495,0.87,8,8,Chicago Carriage Cab Corp
1020235,03/16/2019 06:45:00 PM,357,0.56,8,8,Flash Cab
1020236,03/16/2019 06:45:00 PM,423,0.94,32,28,Flash Cab
1020237,03/16/2019 06:45:00 PM,540,1.1,8,28,Sun Taxi
1020238,03/16/2019 06:45:00 PM,558,0.84,8,8,Flash Cab
1020239,03/16/2019 06:45:00 PM,544,0.76,8,8,Flash Cab
1020240,03/16/2019 06:45:00 PM,579,0.7,7,8,Flash Cab
1020241,03/16/2019 06:45:00 PM,403,0.8,8,8,City Service
1020242,03/16/2019 06:45:00 PM,357,1.46,3,5,Sun Taxi
1020243,03/16/2019 06:45:00 PM,272,1.1,3,3,Flash Cab
1020244,03/16/2019 06:45:00 PM,399,0.8,8,8,Flash Cab
1020245,03/16/2019 06:45:00 PM,495,1.0,8,28,Flash Cab
1020246,03/16/2019 06:45:00 PM,269,0.7,77,2,Flash Cab
1020247,03/16/2019 06:45:00 PM,313,1.0,32,28,Flash Cab
1020248,03/16/2019 06:45:00 PM,486,1.5,8,8,Flash Cab
1020249,03/16/2019 06:45:00 PM,304,0.9,8,8,Flash Cab
1020250,03/16/2019 06:45:00 PM,362,0.7,8,8,Flash Cab
1020251,03/16/2019 06:45:00 PM,334,1.2,6,3,Flash Cab
1020252,03/16/2019 07:00:00 PM,540,1.7,28,8,Star North Management LLC
1020253,03/16/2019 07:00:00 PM,420,1.1,6,6,Taxi Affiliation Services
1020254,03/16/2019 07:00:00 PM,420,1.5,8,7,Taxi Affiliation Services
1020255,03/16/2019 07:00:00 PM,540,1.7,32,32,Star North Management LLC
1020256,03/16/2019 07:00:00 PM,480,1.2,28,32,Star North Management LLC
1020257,03/16/2019 07:00:00 PM,480,1.2,8,8,Star North Management LLC
1020258,03/16/2019 07:00:00 PM,480,1.2,8,7,Taxi Affiliation Services
1020259,03/16/2019 07:00:00 PM,2280,0.9,8,8,Star North Management LLC
1020260,03/16/2019 07:00:00 PM,540,1.2,32,28,Choice Taxi Association
1020261,03/16/2019 07:00:00 PM,480,0.6,8,8,Top Cab Affiliation
1020262,03/16/2019 07:00:00 PM,420,1.2,8,32,Choice Taxi Association
1020263,03/16/2019 07:00:00 PM,420,1.0,8,28,Taxi Affiliation Services
1020264,03/16/2019 07:00:00 PM,540,1.4,32,24,Taxi Affiliation Services
1020265,03/16/2019 07:00:00 PM,420,0.7,32,8,Star North Management LLC
1020266,03/16/2019 07:00:00 PM,240,1.0,8,7,Taxi Affiliation Services
1020267,03/16/2019 07:00:00 PM,360,1.1,8,32,KOAM Taxi Association
1020268,03/16/2019 07:00:00 PM,480,1.3,8,32,Chicago Medallion Management
1020269,03/16/2019 07:00:00 PM,240,0.6,8,8,Taxi Affiliation Services
1020270,03/16/2019 07:00:00 PM,480,1.1,28,24,Taxi Affiliation Services
1020271,03/16/2019 07:00:00 PM,480,1.2,32,28,Choice Taxi Association
1020272,03/16/2019 07:00:00 PM,240,0.9,8,32,Choice Taxi Association
1020273,03/16/2019 07:00:00 PM,300,1.3,3,4,Taxi Affiliation Services
1020274,03/16/2019 07:00:00 PM,480,0.7,8,8,Choice Taxi Association
1020275,03/16/2019 07:00:00 PM,540,0.8,8,8,Taxi Affiliation Services
1020276,03/16/2019 07:00:00 PM,540,0.9,32,8,Taxi Affiliation Services
1020277,03/16/2019 07:00:00 PM,300,1.4,8,7,KOAM Taxi Association
1020278,03/16/2019 07:00:00 PM,480,0.8,32,8,Taxi Affiliation Services
1020279,03/16/2019 07:00:00 PM,360,0.7,8,32,Star North Management LLC
1020280,03/16/2019 07:00:00 PM,300,0.8,8,8,Choice Taxi Association
1020281,03/16/2019 07:00:00 PM,360,1.1,24,32,Taxi Affiliation Services
1020282,03/16/2019 07:00:00 PM,420,1.1,8,28,Taxi Affiliation Services
1020283,03/16/2019 07:00:00 PM,300,0.8,32,32,Taxi Affiliation Services
1020284,03/16/2019 07:00:00 PM,420,0.6,8,8,Star North Management LLC
1020285,03/16/2019 07:00:00 PM,480,1.6,7,24,KOAM Taxi Association
1020286,03/16/2019 07:00:00 PM,480,1.9,6,6,Star North Management LLC
1020287,03/16/2019 07:00:00 PM,480,1.4,8,7,Taxi Affiliation Services
1020288,03/16/2019 07:00:00 PM,540,1.7,32,28,Taxi Affiliation Services
1020289,03/16/2019 07:00:00 PM,540,1.0,32,8,Taxi Affiliation Services
1020290,03/16/2019 07:00:00 PM,480,0.8,8,8,Choice Taxi Association
1020291,03/16/2019 07:00:00 PM,300,0.7,6,6,Chicago Independents
